user_id,handle,name,followers_count,following_count,tweet_count,is_root,is_candidate,discovered_via
1604863807574212611,techdevnotes,Tech Dev Notes,52392,0,12617,False,False,followed_by_root
1587601034339561472,tetsuoai,tetsuo,214755,648,14968,False,False,followed_by_root
1818311005698678784,XFreeze,X Freeze,81110,1348,22481,False,False,followed_by_root
931286316,ScottPresler,ThePersistence,2431477,72193,156357,False,False,followed_by_root
1948071386418749440,NeuraNova9,Audrey Crews,31826,67,649,False,True,followed_by_root
904111584930390016,K0nstantin0s_,Konstantinos Laskaris,2031,16,3,False,True,followed_by_root
4229425167,architectvibes,𝐀𝐫𝐜𝐡𝐢𝐭𝐞𝐜𝐭𝐮𝐫𝐚𝐥 𝐕𝐢𝐛𝐞𝐬,86519,3995,3031,False,False,followed_by_root
1342174584594960384,iamyesyouareno,iamyesyouareno,476273,841,20143,False,False,followed_by_root
3086182267,EthanHe_42,Ethan He,26650,551,912,False,True,followed_by_root
1942146567202283520,Tesla_India,Tesla India,37471,2,50,False,True,followed_by_root
1867171663961362432,tesla_semi,Tesla Semi,30034,6,16,False,True,followed_by_root
230287527,evanspiegel,Evan Spiegel,77342,43,51,False,False,followed_by_root
1156300264070111233,RMistereggen,Rebecca Mistereggen,120386,639,18756,False,False,followed_by_root
133188015,adeoressi,Adeo Ressi,24254,216,3439,False,True,followed_by_root
16642547,SRBednarek,Stephanie Bednarek,2931,333,384,False,True,followed_by_root
2188015574,chaitu,Chaitu,13424,219,503,False,True,followed_by_root
99723374,nevgen,Eugene Nevgen,3037,422,570,False,True,followed_by_root
180910272,gonchar,Sergey Gonchar,8373,998,2361,False,True,followed_by_root
1562038858988064768,TheFigen_,The Figen,2560558,13,30458,False,False,followed_by_root
15670857,mysteriouskat,🚨 Katherine Brodsky,125176,477,82413,False,False,followed_by_root
19402238,ScienceNews,Science News,5188240,517,79740,False,False,followed_by_root
7369882,ChristieNic,Christie Nicholson,4358,720,3380,False,True,followed_by_root
1655762298022113280,danesonance,dane,14898,361,15,False,True,followed_by_root
27260086,justinbieber,Justin Bieber,89831443,3,31259,False,False,followed_by_root
1263491240336769026,wholemars,Whole Mars Catalog,690183,28708,371826,False,False,followed_by_root
935819755,mehes3,Adam Mehes,1636,145,137,False,True,followed_by_root
934443084263448577,twatterbaas,Boer,157819,10182,23482,False,False,followed_by_root
1518682356332212224,arnogau,Arno,9326,210,185,False,True,followed_by_root
939312319258955777,ssydasheng,Shengyang Sun,4704,575,202,False,True,followed_by_root
1912360507165868032,DevinFanFan,Devin Fan,1511,103,75,False,True,followed_by_root
1743487864934162432,ArtificialAnlys,Artificial Analysis,69184,596,1673,False,False,followed_by_root
857959105805246464,DicksonLaw8,Dickson Law,1168,21,0,False,True,followed_by_root
1667090546,scikud,Kudzo S Ahegbebu,3439,818,438,False,True,followed_by_root
1967275506,johnarnold,John Arnold,103150,449,9231,False,False,followed_by_root
1941936701380956160,BarryDille50108,Barry Diller,1165,3,3,False,True,followed_by_root
922955517030408192,venturetwins,Justine Moore,138166,981,10450,False,False,followed_by_root
2228878592,AndrewYang,Andrew Yang🧢⬆️🇺🇸,1774149,9636,41760,False,False,followed_by_root
1881058018189803520,Thiss_Youu,This You?,213810,20,2435,False,False,followed_by_root
3163334923,markjuncosa,mark juncosa,1310,72,0,False,True,followed_by_root
998575387067142144,willdepue,will depue,52931,2155,8243,False,False,followed_by_root
1316424400531464192,rkoti9,rkoti,1307,1,1,False,True,followed_by_root
357041259,JaredBirchall,Jared Birchall,3874,92,0,False,True,followed_by_root
17929760,silviobrugada,Silvio Brugada,73,111,49,False,True,followed_by_root
1455993364529262601,as400495,Edward Coristine,48467,212,231,False,True,followed_by_root
251545048,mbezoyan,Mikhail Bezoyan,1537,107,22,False,True,followed_by_root
1486342364444737537,ErgenCharlie1,Ergen Charlie,1307,65,0,False,True,followed_by_root
988975103785365504,BLKMDL3,Zack,86269,2293,95669,False,False,followed_by_root
1049312830271442944,realhomerhickam,Homer Hickam,20488,1391,23720,False,True,followed_by_root
1269289502914289666,whatifalthist,Whatifalthist,88252,182,13992,False,False,followed_by_root
147176609,romangrachev,Roman Grachev,10468,154,52,False,True,followed_by_root
1373486120,MelBrooks,Mel Brooks,379505,0,693,False,False,followed_by_root
2952500029,r_jegaa,Raj Jegannathan,13549,281,130,False,True,followed_by_root
1223106839920795649,DonRonnelly,Ryan Donnelly,6756,372,57,False,True,followed_by_root
1315709346689568770,AISafetyMemes,AI Notkilleveryoneism Memes ⏸️,89679,1212,17507,False,False,followed_by_root
1329891389430243330,StephenM,Stephen Miller,1659693,356,31425,False,False,followed_by_root
1018235967818248192,JakeNocon,Jake Nocon,1246,53,99,False,True,followed_by_root
2478748357,srihari__,Srihari Sampathkumar,19320,880,82,False,True,followed_by_root
907173236097646592,TheCinesthetic,cinesthetic.,1459922,205,141642,False,False,followed_by_root
142118056,mkives,Michael Kives,6727,754,3,False,True,followed_by_root
158049457,dougboneparth,Douglas A. Boneparth,300459,598,75624,False,False,followed_by_root
2241109232,AriEmanuel,Ari Emanuel,12325,132,27,False,True,followed_by_root
1924901890816671749,DDCIAEllis,Michael Ellis,24576,12,32,False,True,followed_by_root
1927401880700825601,DCIARatcliffe,John Ratcliffe,52848,1,26,False,False,followed_by_root
147039284,Asmongold,Zack,1188640,1297,12897,False,False,followed_by_root
